iter	Logloss
0	0.6668443964
1	0.6412996713
2	0.6179794814
3	0.5990630804
4	0.5816035987
5	0.564845725
6	0.549929191
7	0.5364126657
8	0.5231508599
9	0.512252355
10	0.5015251592
11	0.4912390609
12	0.4833213457
13	0.4745891864
14	0.4673890036
15	0.4605558253
16	0.4537486905
17	0.4470612389
18	0.4417969765
19	0.4368046018
20	0.4314868919
21	0.4272904256
22	0.4230900847
23	0.4192930634
24	0.4157737029
25	0.412103674
26	0.4092013801
27	0.4063240083
28	0.4034359416
29	0.4007432931
30	0.3981508021
31	0.39570589
32	0.3935455962
33	0.3914320636
34	0.3896176045
35	0.3874320827
36	0.3848898984
37	0.3831236414
38	0.3809299477
39	0.3792849726
40	0.3774389253
41	0.3755983104
42	0.3741377893
43	0.372602496
44	0.3712630025
45	0.3698821334
46	0.3684679191
47	0.3671549983
48	0.3653929389
49	0.363728139
50	0.3622816969
51	0.3609867008
52	0.359536481
53	0.3581579794
54	0.3570044714
55	0.3558287454
56	0.3548411801
57	0.3536703618
58	0.352418016
59	0.3515534696
60	0.3504458616
61	0.3493061602
62	0.3485922874
63	0.3472359684
64	0.346216573
65	0.345177614
66	0.3441227668
67	0.3431050686
68	0.3422780398
69	0.3414155985
70	0.3405949478
71	0.3395999275
72	0.3387728018
73	0.3381020875
74	0.3374315288
75	0.3368421755
76	0.3362862548
77	0.3356077167
78	0.3349546146
79	0.3341127045
80	0.3331926775
81	0.3324781488
82	0.3318285949
83	0.3311863481
84	0.3305052195
85	0.3296812732
86	0.3292360144
87	0.328438661
88	0.3277464853
89	0.327129899
90	0.3264515089
91	0.3258806974
92	0.3253491431
93	0.3248022556
94	0.3241079488
95	0.3234458446
96	0.3228725174
97	0.3223650018
98	0.3215999419
99	0.3209922308
100	0.3203797386
101	0.3198015416
102	0.3192295362
103	0.3187731143
104	0.3181967595
105	0.3176718708
106	0.3170150999
107	0.3165100547
108	0.3158986167
109	0.3153952656
110	0.3149475217
111	0.314438955
112	0.31414889
113	0.3136993997
114	0.3130980686
115	0.3126345153
116	0.3120413307
117	0.3114478501
118	0.3109960604
119	0.3103017898
120	0.3098592637
121	0.3094321191
122	0.3089711137
123	0.3085909553
124	0.3081633004
125	0.3077022798
126	0.3073737388
127	0.3068598251
128	0.3065541707
129	0.3060830732
130	0.3056775686
131	0.3052225067
132	0.3048173227
133	0.3042747347
134	0.3039572737
135	0.3034545528
136	0.303055479
137	0.3025772295
138	0.302204342
139	0.3018138879
140	0.3014810142
141	0.3011852347
142	0.3007715416
143	0.3003306292
144	0.2999072636
145	0.2995174408
146	0.2990498409
147	0.2987624391
148	0.2984194898
149	0.297991359
150	0.2974602842
151	0.2968242334
152	0.2964314786
153	0.296084697
154	0.2957426826
155	0.2952995058
156	0.2950467467
157	0.2946152502
158	0.2943148113
159	0.2939695531
160	0.293621306
161	0.2933600951
162	0.2930581604
163	0.292701809
164	0.2923365188
165	0.2920074968
166	0.2917207232
167	0.2913709681
168	0.291131247
169	0.2908287515
170	0.2904599009
171	0.2901900721
172	0.2898152341
173	0.2894987667
174	0.2892022046
175	0.2888539018
176	0.2885790293
177	0.2881811814
178	0.2877046695
179	0.2874209583
180	0.2870831717
181	0.286839068
182	0.2865333106
183	0.286318655
184	0.2860408233
185	0.285736219
186	0.2853179992
187	0.2851211927
188	0.2848286905
189	0.2845079733
190	0.2842318973
191	0.2839049039
192	0.2835743446
193	0.2832603476
194	0.2828917811
195	0.2825046115
196	0.2822860528
197	0.2818893847
198	0.2815512264
199	0.2813168057
200	0.2810942715
201	0.28079718
202	0.2804900492
203	0.2801660868
204	0.2798764748
205	0.2796357552
206	0.279397225
207	0.279133097
208	0.278760529
209	0.2785280521
210	0.2782575444
211	0.2779827009
212	0.2776829276
213	0.2774165581
214	0.2771532894
215	0.2768384087
216	0.2766431279
217	0.2764545027
218	0.2761831979
219	0.2759075123
220	0.2756256351
221	0.2753559387
222	0.2751068833
223	0.2747906358
224	0.2744695408
225	0.2742079888
226	0.2739875182
227	0.2737278769
228	0.2734122488
229	0.2731547693
230	0.2728812149
231	0.2726837437
232	0.272483773
233	0.2722623804
234	0.2720514643
235	0.2718484925
236	0.2715974797
237	0.2714020131
238	0.2711610638
239	0.2708642488
240	0.270372797
241	0.2701568226
242	0.2698215888
243	0.2695979688
244	0.269361263
245	0.2690628423
246	0.268819126
247	0.2685661683
248	0.2683427117
249	0.2680969212
250	0.2678366096
251	0.2676557604
252	0.2674261744
253	0.2671631128
254	0.2669333916
255	0.2666613039
256	0.2664538668
257	0.2662004037
258	0.2656611462
259	0.2654023717
260	0.2651283149
261	0.2649423059
262	0.2646307788
263	0.2643226869
264	0.2640413219
265	0.2638517777
266	0.2636102907
267	0.2633735135
268	0.2631878037
269	0.2629384655
270	0.2626627648
271	0.2624663501
272	0.2622527681
273	0.262071055
274	0.2618525185
275	0.261500932
276	0.2613203235
277	0.261123683
278	0.2605077693
279	0.2603032739
280	0.2600816953
281	0.2599134476
282	0.259672206
283	0.259512466
284	0.2593136403
285	0.2590527067
286	0.2588386102
287	0.2585356092
288	0.2583101524
289	0.2581111964
290	0.2578761554
291	0.2576746845
292	0.2574481682
293	0.257246859
294	0.257042033
295	0.2568317029
296	0.2566508719
297	0.256485012
298	0.2562850166
299	0.2560895335
300	0.2558793038
301	0.255639499
